iter	Logloss
0	0.6535189626
1	0.6128408284
2	0.587158743
3	0.56185669
4	0.5433373893
5	0.5297478277
6	0.5129952008
7	0.5054396089
8	0.4928657166
9	0.4821559096
10	0.4718728687
11	0.4642984091
12	0.4573182598
13	0.4484743677
14	0.4437825506
15	0.4357466678
16	0.4318241984
17	0.4269308553
18	0.4195853938
19	0.4164254139
20	0.4104651761
21	0.4037899013
22	0.3998966877
23	0.3954118464
24	0.3895472351
25	0.3843668983
26	0.3784276381
27	0.374183429
28	0.3669971878
29	0.3630660406
30	0.3606032743
31	0.3583289047
32	0.3545679053
33	0.3499472258
34	0.3434927563
35	0.3410005484
36	0.3356525527
37	0.3336246604
38	0.3308884321
39	0.3270114262
40	0.3248550013
41	0.321959464
42	0.3186807615
43	0.3152407422
44	0.3125295428
45	0.3099576553
46	0.3087370073
47	0.3060202147
48	0.3043012146
49	0.3031811204
50	0.3012913713
51	0.2962880377
52	0.2935077994
53	0.2903586544
54	0.2880233456
55	0.2856924934
56	0.2828916794
57	0.2783420506
58	0.2750544228
59	0.2729354927
60	0.2688667468
61	0.2655909819
62	0.2643482935
63	0.261176962
64	0.2592574173
65	0.2568625892
66	0.2561328642
67	0.2545180755
68	0.2516056547
69	0.2483227989
70	0.2458569081
71	0.2442721301
72	0.242666827
73	0.2397063827
74	0.2379408995
75	0.2361223147
76	0.2349730703
77	0.2333322627
78	0.2325020327
79	0.2312469439
80	0.2290292014
81	0.2280925359
82	0.2265504485
83	0.2229984501
84	0.2211503084
85	0.2185568382
86	0.2165375693
87	0.2151267305
88	0.213782191
89	0.2123239613
90	0.2114577794
91	0.2090102675
92	0.2068474317
93	0.2055389056
94	0.2023623223
95	0.2010124089
96	0.1979145703
97	0.1970370029
98	0.1946003432
99	0.1923658217
100	0.1900397566
101	0.1880614199
102	0.187411115
103	0.1856954967
104	0.184094969
105	0.183043207
106	0.1823297926
107	0.1816530038
108	0.1793581687
109	0.1779996023
110	0.1769856188
111	0.1745416472
112	0.1723334945
113	0.1712312844
114	0.1703972894
115	0.169612547
116	0.1671798137
117	0.1656528029
118	0.1647464928
119	0.1626057921
120	0.1607728878
121	0.1588505451
122	0.1575317747
123	0.1565408241
124	0.1549288722
125	0.1535580785
126	0.1518107063
127	0.1503967593
128	0.1498321273
129	0.1490732769
130	0.1474043177
131	0.146760169
132	0.1446534315
133	0.1439917777
134	0.1427574867
135	0.1425779419
136	0.1416055146
137	0.1394742259
138	0.1387684811
139	0.1376321447
140	0.1359525072
141	0.1352331575
142	0.1336119039
143	0.1325630763
144	0.1324857116
145	0.1318117975
146	0.1312295988
147	0.1311389803
148	0.1304185434
149	0.1301971511
150	0.1280150943
151	0.1268076377
152	0.1256521666
153	0.1246369031
154	0.1235947759
155	0.1218055135
156	0.1211243492
157	0.1206388915
158	0.1197687788
159	0.1191434035
160	0.1187967108
161	0.117365504
162	0.116281137
163	0.1149679401
164	0.114311175
165	0.1136013597
166	0.1119489626
167	0.1116176414
168	0.1111301502
169	0.109792687
170	0.1094237763
171	0.1082642569
172	0.1072773098
173	0.1063045931
174	0.1052378399
175	0.1039474438
176	0.1031838507
177	0.1026968534
178	0.1023411076
179	0.1017965324
180	0.1013273761
181	0.1005169641
182	0.1000004038
183	0.09909773796
184	0.09847087918
185	0.0980308051
186	0.09740615182
187	0.09705913577
188	0.09627046507
189	0.0948600871
190	0.09437786489
191	0.09359419759
192	0.09280767315
193	0.09249357828
194	0.09153140635
195	0.09085559651
196	0.09047099723
197	0.09024565089
198	0.08959813613
199	0.08914128243
200	0.08824068029
201	0.0876764955
202	0.08717519737
203	0.08622398736
204	0.08514873413
205	0.08448320494
206	0.08416253243
207	0.08350879549
208	0.0828599925
209	0.08250242144
210	0.08174373662
211	0.08134418981
212	0.08109608444
213	0.08075792726
214	0.08031127166
215	0.08024281737
216	0.07980618069
217	0.07946140654
218	0.07939556271
219	0.07857625985
220	0.07771628063
221	0.07724908656
222	0.07684210022
223	0.07670656095
224	0.07637730198
225	0.07578803177
226	0.07542708352
227	0.0751929152
228	0.07474987327
229	0.07424498236
230	0.07378337194
231	0.07363521252
232	0.07288779164
233	0.07282592906
234	0.07224250422
235	0.07204606285
236	0.07187368185
237	0.07138910847
238	0.07104821361
239	0.07085716166
240	0.0706488722
241	0.07040482043
242	0.07018200734
243	0.0698689958
244	0.06899404283
245	0.06827493646
246	0.0679632622
247	0.06774094828
248	0.06717819206
249	0.06670588049
250	0.06630015859
251	0.0659379459
252	0.06534337706
253	0.06520307185
254	0.06450166042
255	0.06396379927
256	0.06371394777
257	0.06331174825
258	0.06312370689
259	0.0626703139
260	0.06246784311
261	0.06203870327
262	0.06185424255
263	0.06133362766
264	0.06050424178
265	0.06019817108
266	0.06004703118
267	0.05991232274
268	0.05958850224
269	0.05938237748
270	0.05904080377
271	0.05884217876
272	0.05842903093
273	0.05815205312
274	0.05778470641
275	0.05748721975
276	0.05731705347
277	0.05703836934
278	0.05635817328
279	0.05614916856
280	0.05598225662
281	0.05578494509
282	0.0555207875
283	0.05534850798
284	0.05521240788
285	0.05498044117
286	0.05469632343
287	0.0544825717
288	0.05413295247
289	0.05362267261
290	0.05345808853
291	0.05331980769
292	0.05302621488
293	0.05285682066
294	0.05261866867
295	0.05235134511
296	0.05216866015
297	0.05203679866
298	0.05179117168
299	0.05158373877
